rang;type_de_document;nombre_de_reservations;titre_avec_lien_vers_le_catalogue;auteur
584;Livre jeunesse;55;Journal d'un dégonflé. 1. Carnet de bord de Greg Heffley;Kinney, Jeff
9;;408;Le sermon sur la chute de Rome;Ferrari, Jérôme
12;Livre pour adulte;404;Le gardien de phare;Läckberg, Camilla
17;Nouveauté;346;Le vieux qui ne voulait pas fêter son anniversaire : roman;Jonasson, Jonas
18;;344;Inferno : roman;Brown, Dan
21;Nouveauté;315;Rien ne s'oppose à la nuit : roman;Vigan, Delphine de
24;DVD-vidéo tous publics;283;Argo;
25;;278;Demain, j'arrête;Legardinier, Gilles
29;DVD-vidéo tous publics;273;Camille redouble;
34;Livre pour adulte;264;Certaines n'avaient jamais vu la mer : roman;Otsuka, Julie
40;Livre pour adulte;249;Le roman du mariage;Eugenides, Jeffrey
41;DVD-vidéo tous publics;246;Take Shelter;
43;;240;Une fille, qui danse : roman;Barnes, Julian
45;Nouveauté disque compact;235;Random access memories;
49;Disque compact;219;Moonrise Kingdom;
58;Nouveauté;195;Ne t'éloigne pas;Coben, Harlan
62;DVD-vidéo tous publics;188;La part des anges;
71;DVD-vidéo tous publics;177;Borgen;
80;;165;Une danse avec les dragons;Martin, George R.R.
1000;Nouveauté;38;Absolument dé-bor-dée ! ou Le paradoxe du fonctionnaire;Shepard, Zoé
;;;;
84;DVD-vidéo tous publics;156;Les adieux à la reine;
87;DVD-vidéo tous publics;153;Le Hobbit;
89;DVD-vidéo tous publics;152;Margin Call;
90;DVD-vidéo tous publics;152;Les saveurs du palais;
101;DVD-vidéo tous publics;142;Lincoln;
111;DVD-vidéo tous publics;133;Royal Affair;
128;Bande dessinée pour adulte;125;Aya de Yopougon. 5;Abouet, Marguerite
136;DVD-vidéo tous publics;122;Du vent dans mes mollets;
138;DVD-vidéo tous publics;121;The Place Beyond the Pines;
